short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) L2 feat copy	Sequence(Average) L1 train total
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	2	0.001461	0.015070
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	3	0.001456	0.015315
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	4	0.001480	0.015948
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	5	0.001444	0.014878
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	6	0.001466	0.015029
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	7	0.001462	0.015280
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	8	0.001470	0.015102
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	9	0.001509	0.015186
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	10	0.001477	0.015277
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	11	0.001480	0.015469
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	12	0.001485	0.015271
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	13	0.001456	0.015173
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	14	0.001470	0.015206
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	15	0.001484	0.015548
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	16	0.001487	0.015760
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	17	0.001479	0.015875
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	18	0.001484	0.017388
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	19	0.001473	0.015138
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	20	0.001490	0.015176
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	21	0.001458	0.015258
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	22	0.001470	0.015237
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	23	0.001484	0.015306
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	0	0.001500	0.005951
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	1	0.001419	0.005953
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	2	0.001454	0.005626
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	3	0.001444	0.005991
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	4	0.001434	0.006587
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	5	0.001426	0.005485
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	6	0.001421	0.005654
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	7	0.001432	0.005734
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	8	0.001441	0.005529
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	9	0.001431	0.005439
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	10	0.001436	0.005478
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	11	0.001538	0.005839
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	12	0.001476	0.005844
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	13	0.001457	0.005998
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	14	0.001462	0.006347
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	15	0.001453	0.006434
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	16	0.001448	0.006698
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	17	0.001441	0.007082
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	18	0.001430	0.008299
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	19	0.001442	0.005763
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	20	0.001451	0.005733
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	21	0.001447	0.005805
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	22	0.001453	0.005894
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	23	0.001438	0.006095
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	0	0.001427	0.015510
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	1	0.001390	0.015362
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	2	0.001403	0.014965
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	3	0.001413	0.015388
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	4	0.001404	0.015933
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	5	0.001385	0.014876
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	6	0.001374	0.014945
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	7	0.001379	0.015030
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	8	0.001399	0.014867
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	9	0.001445	0.015279
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	10	0.001415	0.015501
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	11	0.001407	0.015195
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	12	0.001414	0.015078
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	13	0.001393	0.015050
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	14	0.001391	0.015209
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	15	0.001411	0.015509
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	16	0.001395	0.015812
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	17	0.001409	0.016023
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	18	0.001397	0.017465
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	19	0.001390	0.014961
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	20	0.001406	0.015141
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	21	0.001395	0.015177
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	22	0.001383	0.015161
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	23	0.001391	0.015208
