short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_enable_refresh
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	68	0.000526	0.001684	71.207012	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	69	0.000554	0.001715	72.268587	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	70	0.000543	0.001694	73.353531	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	71	0.000472	0.001632	74.440024	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	72	0.000498	0.001659	75.491036	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	73	0.000496	0.001651	76.560431	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	74	0.000504	0.001670	77.606227	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	75	0.000538	0.001700	78.669398	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	76	0.000536	0.001692	79.757290	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	77	0.000466	0.001614	80.830144	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	78	0.000491	0.001661	81.864665	False
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	79	0.000497	0.001659	82.930711	False
