short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz	coll_cache_enable_refresh	Python seq e2e time
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	25	0.000545	0.001745	26.789137	4000	True	0.001735
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	26	0.000476	0.001673	27.883642	4000	True	0.001779
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	27	0.000507	0.001707	28.937090	4000	True	0.001750
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	28	0.000510	0.001709	30.011738	4000	True	0.001687
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	29	0.000547	0.001748	31.088085	4000	True	0.001734
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	30	0.000539	0.001735	32.194008	4000	True	0.001707
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	31	0.000471	0.001669	33.284406	4000	True	0.001792
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	32	0.000481	0.001675	34.347146	4000	True	0.001766
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	33	0.000492	0.001690	35.401412	4000	True	0.001685
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	34	0.000501	0.001706	36.462937	4000	True	0.001659
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	35	0.000522	0.001719	37.548993	4000	True	0.001700
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	36	0.000538	0.001749	38.625747	4000	True	0.001717
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	37	0.000499	0.001710	39.733771	4000	True	0.001721
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	38	0.000483	0.001863	40.813607	4000	True	0.001803
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	39	0.000517	0.001714	41.976852	4000	True	0.001763
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	40	0.000510	0.001736	43.049732	4000	True	0.001871
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	41	0.000550	0.001869	44.132559	4000	True	0.001745
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	42	0.000550	0.001856	45.329829	4000	True	0.001763
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	43	0.000514	0.001792	46.506880	4000	True	0.001952
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	44	0.000495	0.001777	47.625662	4000	True	0.001937
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	45	0.000527	0.001822	48.732656	4000	True	0.001836
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	46	0.000514	0.001820	49.888831	4000	True	0.001796
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	47	0.000539	0.001850	51.076456	4000	True	0.001913
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	48	0.000554	0.001820	52.248075	4000	True	0.001974
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	49	0.000519	0.001772	53.378093	4000	True	0.001907
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	50	0.000501	0.001758	54.483320	4000	True	0.001806
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	51	0.000526	0.001745	55.582795	4000	True	0.001787
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	52	0.000518	0.001748	56.668393	4000	True	0.001793
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	53	0.000529	0.001764	57.763037	4000	True	0.001728
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	54	0.000548	0.001791	58.863165	4000	True	0.001774
